epoch,train_loss,val_loss,val_bleu1,val_bleu2,val_bleu3,val_bleu4,val_cider,val_rouge_l,lr
1,6.011918475456747,5.589128836836724,0.4440486426728357,0.276301399331533,0.1569634309149714,0.08117251107013336,0.13360315333515388,0.34658707056029964,0.0004
2,5.309836467422301,5.201474773621786,0.5068262798885511,0.3373045102267312,0.203632117295999,0.11497000596440997,0.21136778011324955,0.3820141362975631,0.0004
3,4.992556268874396,5.007156889339871,0.5271639604443258,0.35700048735748235,0.22744886481350704,0.13728741426004415,0.2942960376374698,0.40009993361018287,0.0004
4,4.773272873434549,4.8702942891905545,0.5680495825954253,0.38877538827427904,0.2550136738627856,0.1617576503973605,0.34888005966596136,0.41320638073866905,0.0004
5,4.601258678243115,4.7799788610521174,0.5846758848153514,0.40409075397496713,0.26566208263864366,0.17010309427438863,0.37448371714688317,0.41454166066408343,0.0004
6,4.466110374071934,4.717419985579008,0.5908465674627247,0.40813701579068745,0.27166169725609207,0.17735137528687706,0.4135501336002684,0.4148861444163768,0.0004
7,4.346937628291668,4.670838371238939,0.5999244903095142,0.41773830125816835,0.28012991630253514,0.18577778495674785,0.42817204603643694,0.4208016931109798,0.0004
8,4.242053912618804,4.643041488961233,0.608351495147058,0.423376429666006,0.2843753126828731,0.18594154384111541,0.43943919309043383,0.4221204970757855,0.0004
9,4.149806285392242,4.612628045281697,0.6121724410067161,0.42524000395298533,0.28757934602945173,0.19246054447255997,0.45467272417991883,0.4166142554078404,0.0004
10,4.064098490164925,4.596263092592892,0.6181877629387816,0.43338048944052343,0.29537114301143663,0.19799316251317234,0.4745612861520078,0.4245205650032107,0.0004
11,3.985723806561277,4.580757322458808,0.6187874957640203,0.43165125554393957,0.2918120189282423,0.19362257603592545,0.4734393508975064,0.42536594450372506,0.0004
12,3.9162409102408193,4.573889671435591,0.6183553016215578,0.4334186956067311,0.29381367763201344,0.19720170501219508,0.47580648441444195,0.421221077723563,0.0004
13,3.848738196931146,4.561410233909522,0.6223978749585046,0.43613846241332116,0.29590466269252286,0.19853713602212084,0.46467227791282395,0.4220991300618091,0.0004
14,3.7868563664163184,4.55274752799491,0.6135254322664524,0.43032493738117983,0.2922285749537137,0.19805742611911828,0.4794747768995408,0.42086950261136735,0.0004
15,3.726372945419945,4.554992586658761,0.6119554051400282,0.42907701748709254,0.2910643743076575,0.19467398289846752,0.46640280679438284,0.42038211797590136,0.0004
16,3.671229252896534,4.551304421258668,0.6208853645465524,0.4328234769369411,0.2907579375649677,0.1923940034952753,0.47477530295020026,0.42068541277344695,0.0004
17,3.618344951253159,4.5530942028067205,0.6210290197763884,0.43324755594415393,0.2935328120339276,0.1962887800306333,0.47749262518161334,0.4187458891578537,0.0002
18,3.5341859047281097,4.558072763458528,0.6267921461920682,0.43390277988925624,0.28774079335903857,0.1884060637620414,0.4800890203292793,0.4234039549719084,0.0002
19,3.499510794400526,4.550295865538868,0.6228476753289053,0.43701571890785623,0.2968709858100824,0.20000934224622433,0.49319006867530385,0.42260258992850025,0.0002
20,3.470323504080688,4.54973319905977,0.6174348441050372,0.4326980072191523,0.2930399703883355,0.19691468704639023,0.48832739977167405,0.42325277368480174,0.0002
