epoch,train_loss,val_loss,val_bleu1,val_bleu2,val_bleu3,val_bleu4,val_cider,val_rouge_l,lr
1,6.311970197285601,5.243639076441952,0.5339073872909913,0.32820528030847906,0.1990442532450775,0.11192454499247037,0.17866404702361818,0.38376328874614096,8.29e-05
2,4.923509473736262,4.80479273860598,0.5848837493217791,0.3828303942143628,0.24451435142892855,0.15525789776762172,0.31508441308338936,0.4031545852397164,9.956053992712935e-05
3,4.578803607797985,4.625616926175615,0.5968660675455884,0.40440012179462387,0.2656271165066264,0.16919975172618787,0.34777945897259943,0.41149832558956534,9.776914907028259e-05
4,4.3792218452669625,4.520685128587716,0.6168343276196722,0.41837300825172974,0.27812870873321405,0.18272554756453593,0.3836632809356176,0.4244820877617845,9.464604755271571e-05
5,4.2322728012374675,4.457429794408528,0.6138755641380443,0.4135483698261651,0.27396740362159494,0.17794949085403117,0.3981632246229956,0.41599164248599135,9.027830135040697e-05
6,4.112841817100271,4.421717554067227,0.6119578049200493,0.40593391607014406,0.2650680070532586,0.17074735822778644,0.4063628555809123,0.41569664945442564,8.478767470438096e-05
7,4.0106635968843,4.400150267294257,0.6213955022988803,0.42026692052902576,0.2795247474376995,0.18505703223309913,0.4330379694349305,0.42109722898774304,7.832723557127617e-05
8,3.917953836046105,4.384656902134799,0.614100277387571,0.41522355540937944,0.2789679310295715,0.18685722295975357,0.4352703961681431,0.41899608017242995,7.10770883874063e-05
9,3.8361167913289456,4.376591429588037,0.6183437822048982,0.4211205166116488,0.28367246052259115,0.1875101424730557,0.46104057893135053,0.4226568139007204,6.323935310852657e-05
10,3.7597557752680424,4.3627643852196725,0.6125184819084614,0.417122111129771,0.2799922517267454,0.185839904073695,0.46602226178795986,0.4167546272392344,5.503253049987838e-05
11,3.694271852983352,4.370763626937138,0.6101716304895747,0.4146122339550005,0.2770852817542969,0.18398930830059293,0.46098773163331014,0.4196697527173197,4.6685410761230494e-05
12,3.634577246379692,4.3730194311559965,0.6228002791190194,0.429091513512232,0.28954707318296546,0.19067886045379184,0.4928579838463122,0.42754218431999325,3.843069530256433e-05
13,3.580999205622471,4.375813572380044,0.6117389894396362,0.40898133999593816,0.2727937530739553,0.1800762151514186,0.4672377361129854,0.4162153657629388,3.04985094828504e-05
14,3.535904098404023,4.37976522472404,0.6131405336010849,0.4142062700232491,0.2755177129194828,0.18091914104330709,0.46822451023983536,0.4222530603571581,2.3109987164100445e-05
15,3.4990033787554333,4.387473643666465,0.6182210379760555,0.4228711905156572,0.28551415761138504,0.19057466668880982,0.49579867568809893,0.4250537851502435,1.647110593080888e-05
16,3.4703679626451893,4.3867941350201525,0.6198096301912437,0.4230181311950414,0.2857488504660168,0.19080265703005136,0.5003206234757983,0.4242521442022779,1.0766944836835713e-05
17,3.4475321685344387,4.391710224669622,0.6227376970717543,0.42498278704957526,0.2858881542370411,0.18983097935983181,0.4927119208209707,0.4279380310930445,6.156524762543186e-06
18,3.431153630875053,4.3929476108105465,0.6200856399649003,0.42308951958911456,0.2859292716182801,0.1909859308381069,0.4998118914153849,0.42628655017265654,2.7683752229599125e-06
19,3.4222523581503963,4.393133123896671,0.6213492815665734,0.42476869154641805,0.28793149433759746,0.19106838235996024,0.5014874291457424,0.4272286548862608,6.969512157107838e-07
20,3.4161497265609353,4.393626857857245,0.6202865375536041,0.4225513858419511,0.2856431917960927,0.1888043468596477,0.4959342485215978,0.4254619461941718,0.0
