epoch,train_loss,val_loss,val_bleu1,val_bleu2,val_bleu3,val_bleu4,val_cider,val_rouge_l,lr
1,6.329225914363002,5.874206659933535,0.40103429993780676,0.21801485177298657,0.09626846990044312,0.03818607413204031,0.0961979708019317,0.3197633749961114,0.0004
2,5.5408512218176265,5.298223834487099,0.47757020032721914,0.3069544040774711,0.17870704995864478,0.09736973871988519,0.1622161359332001,0.36130591090390435,0.0004
3,5.050441261934188,4.977678817629094,0.4977756965581248,0.32914610807427275,0.20773006470005573,0.12815927956101716,0.2750317566123089,0.3946117367752055,0.0004
4,4.74350051787739,4.786226048769367,0.5841683477241861,0.3965020123271117,0.26157853204968745,0.16943893803010185,0.3580459867013329,0.4157332523803725,0.0004
5,4.535322042415154,4.674749050805172,0.6016641103611188,0.40776916892291765,0.26725272010647355,0.17240931014163713,0.38792910478208503,0.4134116298933788,0.0004
6,4.380810735045144,4.609125067394516,0.596328596036608,0.40687092572436273,0.2697163556895149,0.1768888811098681,0.3970373004880965,0.41416731392308515,0.0004
7,4.253784388660973,4.5603115827129646,0.6032134078184656,0.41319626649944574,0.27343491396850994,0.1775455014868611,0.42941238967188977,0.4175925678339836,0.0004
8,4.1462654930264575,4.531185090933323,0.6132761304864813,0.41883486543481063,0.2806176067894129,0.18512715495311316,0.43830918102951855,0.4205022611155324,0.0004
9,4.0532223820715245,4.509104265652225,0.6066623800442795,0.4202081855189615,0.28595281802640327,0.1925790526682988,0.44377837049248725,0.4149487269686643,0.0004
10,3.967184848959403,4.489280415433167,0.6044155172188245,0.4153253673234313,0.2798099049546527,0.18683668956714822,0.4592535126440965,0.4194660627718633,0.0004
11,3.889063060525017,4.487901986349964,0.6088992355367983,0.41922691123617994,0.2834909787568194,0.1886152935109419,0.45757685713230484,0.4233182628066577,0.0004
12,3.8191137537797264,4.474918423825194,0.6000695582234996,0.41310219834740114,0.27884958535924925,0.18516460995608677,0.45765010185473176,0.41341650491379567,0.0004
13,3.755073149924123,4.468721212412891,0.6081193059369006,0.4188155717227372,0.2789160730593738,0.1834030488117391,0.45430684407993016,0.4191634143543086,0.0002
14,3.660306061639627,4.465731024449819,0.6139812696930904,0.42156716233313524,0.2809649937191068,0.18320261197143023,0.45895888400917006,0.4199761864220304,0.0002
15,3.6217538308234722,4.466964544645697,0.6118614246266207,0.42074090239443623,0.2783989781213681,0.18320217098481145,0.4649961530152893,0.41961347626068296,0.0002
16,3.5909331732112615,4.468169152856719,0.6181197097344817,0.42236976603279003,0.28196126864489435,0.1879157790677169,0.4625990245079886,0.42380236145163613,0.0002
17,3.559445539895436,4.468567550365035,0.6135563037051586,0.42272328841386103,0.283297601824901,0.18755571885554312,0.4728065810385305,0.4243265321523729,0.0002
18,3.5295891996989806,4.470132045564619,0.6197368530077364,0.42873495883726426,0.28988361161108955,0.19539401834681389,0.4878012612066252,0.4241213130681861,0.0002
19,3.501083603959838,4.470769316691402,0.6175384876149376,0.4261382797832717,0.28538304995181435,0.18808649343556447,0.471966006696644,0.4218136538206526,0.0002
20,3.476335224550841,4.47361468654953,0.6208216381729241,0.42817862832603276,0.28825969595625,0.1923999357430982,0.48818993920569553,0.4234896506040604,0.0002
