epoch,grpo_loss,grpo_kl,grpo_entropy,grpo_reward_mean,grpo_reward_std,val_bleu4,val_cider,val_rouge_l,lr
1,0.0856450809771756,0.36377821895013374,3.3225845032427683,0.08196893876575562,0.14337045643703047,0.09027935674937923,0.15085924873694814,0.3723217285770375,5e-05
2,0.07899078868598823,0.6909081599080419,2.1314526738890684,0.12638019791927682,0.1967444589698171,0.08402031801063843,0.13452325226151113,0.3749164820734601,5e-05
3,0.13348847787423307,0.9023210057293076,2.0465064427938806,0.13575650187860053,0.207666809192623,0.0830274896854918,0.13073016587920291,0.37017096269551,5e-05
4,0.2376389262726508,0.9408705373844468,2.1634201678885034,0.13771196831780744,0.21473134404205413,0.08431495130322035,0.13549730876632443,0.37345587288797044,5e-05
5,0.27613807139267404,1.0102336452667973,1.970291829109192,0.14208740951066995,0.2200029237442706,0.08521502853231686,0.1370189842678756,0.3750484724889987,5e-05
