epoch,train_loss,val_loss,val_bleu1,val_bleu2,val_bleu3,val_bleu4,val_cider,val_rouge_l,lr
1,6.007512306925133,5.510284996312495,0.4386115540291379,0.2684851734765276,0.15328320457050332,0.08145294606374347,0.12241800953240989,0.33979571209585685,0.0004
2,5.173362409755662,5.013985417218872,0.5301440078105284,0.35018770647137565,0.2251171600914625,0.14125334849382015,0.2791924479968174,0.4042277013412658,0.0004
3,4.781571267544679,4.797616745599025,0.5986075284190954,0.4105221967964362,0.27488793960967783,0.18172291781095384,0.36608830461286507,0.4210159439498764,0.0004
4,4.541978490093534,4.667620230288981,0.6123463856481521,0.42871675576681406,0.2921864547818649,0.19322356775214755,0.4139850762881351,0.4314917896603645,0.0004
5,4.363516150801932,4.6014596666259555,0.6096259096197643,0.42070569284406306,0.2812811122935596,0.18452525035601125,0.40603910640627633,0.41829890289630306,0.0004
6,4.213764073226953,4.55457072474512,0.6169177741591685,0.42870408186849773,0.29294151235043064,0.19890362766592823,0.46546814667266273,0.4320756120139587,0.0004
7,4.0836965234793725,4.529609582117032,0.6128179396896235,0.4328131713390116,0.2974620596638968,0.20334282945536117,0.47708927802167245,0.4263367948345902,0.0004
8,3.969228214324842,4.5081337620095185,0.6202747322098758,0.43393842520295267,0.29511286599854153,0.19703431676753488,0.4696026968786331,0.43084815423140976,0.0004
9,3.8680682822069983,4.501811916872628,0.6238105471785292,0.4388859939853414,0.3025660259251987,0.20623510001993947,0.4913323647512251,0.4345874608412777,0.0004
10,3.7759837731480026,4.503498859002133,0.6084982827399634,0.4282051909106679,0.2919944892218917,0.1934872243925368,0.47000220835250806,0.42072674192852927,0.0004
11,3.6940350333991887,4.500432267206982,0.6181934379885662,0.4317128810849159,0.29472190946799404,0.19635145809064838,0.48497157283109626,0.43209314253078684,0.0004
12,3.61826011757412,4.504541939784604,0.6142759716504824,0.42779834925770166,0.28800650463431066,0.19080405476174364,0.4825764299651814,0.42444659075013647,0.0002
13,3.5037051367841894,4.499536392515246,0.61578708225672,0.42986085291275544,0.29372819837451314,0.1966295049916162,0.49675027615116574,0.42649896043882085,0.0002
14,3.4593015586927316,4.5016346888321275,0.6175659327143187,0.4328185759543452,0.29851942835946094,0.20361266907029638,0.504922920485515,0.43077627222752846,0.0002
15,3.420557063101667,4.509754093664834,0.6162192113080919,0.42769600233395727,0.29041041336966034,0.1954776857088198,0.5019630902725503,0.42943993179147677,0.0002
16,3.3882612418764837,4.51224205639872,0.6174670799883492,0.42999621763332135,0.2940440533555904,0.19879536764548464,0.4993255153963376,0.4260620617759933,0.0002
17,3.352143938086826,4.519710745251067,0.6139244126577994,0.42839350902271184,0.2916621310353409,0.19579875671548513,0.5137163566920222,0.4237298193075415,0.0002
18,3.3225231548398932,4.525212103227087,0.6157867224397314,0.4267210091477247,0.28899149049881784,0.19194727458313898,0.4944423756957161,0.4246380721723488,0.0002
19,3.293258995627763,4.533327600419161,0.6185586203043976,0.42960356004464845,0.29349624198806773,0.19785655644786934,0.5006615990643696,0.42502208250938783,0.0002
20,3.266372368272596,4.538117379490366,0.6123757734591595,0.4244454544981675,0.28933047305225895,0.1931983451609166,0.4986067144199631,0.4265339508992214,0.0001
