epoch,train_loss,val_loss,val_bleu1,val_bleu2,val_bleu3,val_bleu4,val_cider,val_rouge_l,lr
1,6.087734489319672,5.675896010076074,0.4405964611360725,0.2629860571646836,0.1434867450446336,0.074349524977671,0.12006573894185871,0.3348295481520004,0.0004
2,5.4049418595213465,5.2603694603587,0.4987376271056195,0.32530760292740973,0.19206630803533786,0.10553647011805516,0.17579170624450477,0.36883045148081106,0.0004
3,5.076246579958095,5.033882262880262,0.46768060836496667,0.3066201416354627,0.1948550009295011,0.11731095742520863,0.2599757809940732,0.38575302678893664,0.0004
4,4.845377532782861,4.884411556351799,0.5211817848857867,0.3451597806969981,0.22322928374208897,0.1403817325707758,0.29165371591794764,0.39981990432314557,0.0004
5,4.675271445378539,4.780800009945122,0.5987139722578522,0.40797704891887265,0.2704770432758892,0.1734146634209686,0.3590089161838099,0.4174087718991776,0.0004
6,4.538270541871857,4.70384858589747,0.6041826176071575,0.41060422195916946,0.2700504526575394,0.1744834052800193,0.3767416895864244,0.418984320938229,0.0004
7,4.420361728346945,4.656329835971816,0.6088031452941648,0.41495376559134334,0.2770042903817804,0.18172675065474472,0.406173210382606,0.41898302261737297,0.0004
8,4.31572508359404,4.615485815213079,0.6118311299220488,0.4172371411201835,0.2785349514437279,0.18260590450203293,0.4085759632453554,0.421727232992829,0.0004
9,4.223424717545769,4.585795752450331,0.6030820453834193,0.42012849627924864,0.2863455497746223,0.19232629814591948,0.42884301630283833,0.41770001219617,0.0004
10,4.133938769508376,4.565207965497806,0.6074035878373758,0.4200534714323337,0.2823290529961649,0.18924350228186423,0.44049026091368954,0.4181909982778862,0.0004
11,4.05592820282122,4.546496077942675,0.6061848373493818,0.418827309708964,0.2818597203566016,0.18718160557460942,0.4357814087622895,0.4139306843574933,0.0004
12,3.9815456089895407,4.539548436755401,0.6050592211103538,0.4187684888939232,0.28257945320053685,0.18859452002496505,0.440999990057851,0.4150712377098625,0.0004
13,3.9132393345410073,4.531380528795687,0.6166112610294318,0.4302805208705353,0.2940630866356219,0.19763883421314737,0.4630636016172026,0.42173820975216414,0.0004
14,3.848728692558595,4.520803272165636,0.6113231615421509,0.4242852195606987,0.28731312353717836,0.1932349151720777,0.4587774657396307,0.41915285013593906,0.0004
15,3.789362723570445,4.5148083647012145,0.6072454654739639,0.4192953426456099,0.2849704614424424,0.1931987644069613,0.4609762946980329,0.41723980944260874,0.0004
16,3.729244853479028,4.517929093413266,0.6098369563186127,0.4198396871091116,0.28243801234155946,0.18801430253536824,0.4549900068843158,0.4151518088532437,0.0002
17,3.645234868346058,4.511745176566692,0.6146412567879714,0.42686095373797245,0.2894494341642369,0.19298707220332137,0.47224131775776956,0.42080404202156085,0.0002
18,3.6096885402051067,4.511856961473712,0.6180804350538609,0.42755730314011553,0.288739851033847,0.19142435265853833,0.45508941403721054,0.42016335044769704,0.0002
19,3.580492551476469,4.519646163902931,0.6175388700570066,0.4321503085900159,0.29362825741343823,0.19726838692158938,0.47487391394506584,0.4207516318601685,0.0002
20,3.553716432952935,4.519369891786212,0.6235968884863322,0.43298373718862426,0.2926422180535675,0.1947118797194055,0.4776624825374505,0.4238407513713963,0.0002
