epoch,grpo_loss,grpo_kl,grpo_entropy,grpo_reward_mean,grpo_reward_std,val_bleu4,val_cider,val_rouge_l,lr
1,0.06268972681767969,0.49384014322815173,1.745429945997445,0.3277417541088828,0.36618019572223526,0.15976452903860128,0.3500793176222013,0.4157184121232143,1e-05
2,0.055155503265110845,0.7146883749100099,1.012493202916111,0.395171158715903,0.39941303572022774,0.166087917925998,0.3566827335367792,0.41977487746331127,1e-05
3,0.05525345623672727,0.7794624176370092,0.9150853448603526,0.4138816847858659,0.4070562098399702,0.1654668105826119,0.3510918145181481,0.4196573517482856,1e-05
4,0.05532563856567245,0.8288026365889124,0.8416886167353894,0.42207492747938774,0.4105923019259809,0.16594117926009203,0.3601991987590324,0.4183733284775092,1e-05
5,0.05472471610788839,0.8361955489020749,0.8227381693311484,0.43414054556065296,0.4216396084032863,0.16459550195719436,0.36363849034898216,0.41761645590804425,1e-05
